Código,Nombre,Descripción,Pes,Coste
UFRED.I04.SA.20X15X1,U FRED inox 304 satinat 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.64,4
UFRED.I04.SA.20X15X1.5,U FRED inox 304 satinat 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.64,4
UFRED.I04.SA.20X20X1,U FRED inox 304 satinat 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.7,4
UFRED.I04.SA.20X20X1.5,U FRED inox 304 satinat 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.71,4
UFRED.I04.SA.20X40X1.5,U FRED inox 304 satinat 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.98,4
UFRED.I04.SA.25X15X1,U FRED inox 304 satinat 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.88,4
UFRED.I04.SA.25X15X1.5,U FRED inox 304 satinat 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.89,4
UFRED.I04.SA.25X25X1,U FRED inox 304 satinat 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.9,4
UFRED.I04.SA.25X25X1.5,U FRED inox 304 satinat 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.9,4
UFRED.I04.SA.30X15X1,U FRED inox 304 satinat 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.92,4
UFRED.I04.SA.30X15X1.5,U FRED inox 304 satinat 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 SATI,0.93,4
UFRED.I04.BRI.10X10X1,U FRED inox 304 brillant 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.23,3.8
UFRED.I04.BRI.10X15X1,U FRED inox 304 brillant 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.36,3.8
UFRED.I04.BRI.15X10X1,U FRED inox 304 brillant 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.42,3.8
UFRED.I04.BRI.15X12X1,U FRED inox 304 brillant 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.48,3.8
UFRED.I04.BRI.15X12X1.5,U FRED inox 304 brillant 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.49,3.8
UFRED.I04.BRI.15X15X1,U FRED inox 304 brillant 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.51,3.8
UFRED.I04.BRI.15X15X1.5,U FRED inox 304 brillant 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.52,3.8
UFRED.I04.BRI.15X30X1,U FRED inox 304 brillant 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.69,3.8
UFRED.I04.BRI.20X15X1,U FRED inox 304 brillant 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.64,3.8
UFRED.I04.BRI.20X15X1.5,U FRED inox 304 brillant 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.64,3.8
UFRED.I04.BRI.20X20X1,U FRED inox 304 brillant 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.7,3.8
UFRED.I04.BRI.20X20X1.5,U FRED inox 304 brillant 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.71,3.8
UFRED.I04.BRI.20X40X1.5,U FRED inox 304 brillant 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.98,3.8
UFRED.I04.BRI.25X15X1,U FRED inox 304 brillant 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.88,3.8
UFRED.I04.BRI.25X15X1.5,U FRED inox 304 brillant 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.89,3.8
UFRED.I04.BRI.25X25X1,U FRED inox 304 brillant 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.9,3.8
UFRED.I04.BRI.25X25X1.5,U FRED inox 304 brillant 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.9,3.8
UFRED.I04.BRI.30X15X1,U FRED inox 304 brillant 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.92,3.8
UFRED.I04.BRI.30X15X1.5,U FRED inox 304 brillant 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 04 BRILL,0.93,3.8
UFRED.I16.BRU.10X10X1,U FRED inox 316 brut 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.23,6.7
UFRED.I16.BRU.10X15X1,U FRED inox 316 brut 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.36,6.7
UFRED.I16.BRU.15X10X1,U FRED inox 316 brut 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.42,6.7
UFRED.I16.BRU.15X12X1,U FRED inox 316 brut 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.48,6.7
UFRED.I16.BRU.15X12X1.5,U FRED inox 316 brut 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.49,6.7
UFRED.I16.BRU.15X15X1,U FRED inox 316 brut 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.51,6.7
UFRED.I16.BRU.15X15X1.5,U FRED inox 316 brut 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.52,6.7
UFRED.I16.BRU.15X30X1,U FRED inox 316 brut 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.69,6.7
UFRED.I16.BRU.20X15X1,U FRED inox 316 brut 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.64,6.7
UFRED.I16.BRU.20X15X1.5,U FRED inox 316 brut 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.64,6.7
UFRED.I16.BRU.20X20X1,U FRED inox 316 brut 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.7,6.7
UFRED.I16.BRU.20X20X1.5,U FRED inox 316 brut 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.71,6.7
UFRED.I16.BRU.20X40X1.5,U FRED inox 316 brut 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.98,6.7
UFRED.I16.BRU.25X15X1,U FRED inox 316 brut 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.88,6.7
UFRED.I16.BRU.25X15X1.5,U FRED inox 316 brut 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.89,6.7
UFRED.I16.BRU.25X25X1,U FRED inox 316 brut 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.9,6.7
UFRED.I16.BRU.25X25X1.5,U FRED inox 316 brut 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.9,6.7
UFRED.I16.BRU.30X15X1,U FRED inox 316 brut 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.92,6.7
UFRED.I16.BRU.30X15X1.5,U FRED inox 316 brut 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRUT,0.93,6.7
UFRED.I16.SA.10X10X1,U FRED inox 316 satinat 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.23,7.5
UFRED.I16.SA.10X15X1,U FRED inox 316 satinat 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.36,7.5
UFRED.I16.SA.15X10X1,U FRED inox 316 satinat 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.42,7.5
UFRED.I16.SA.15X12X1,U FRED inox 316 satinat 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.48,7.5
UFRED.I16.SA.15X12X1.5,U FRED inox 316 satinat 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.49,7.5
UFRED.I16.SA.15X15X1,U FRED inox 316 satinat 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.51,7.5
UFRED.I16.SA.15X15X1.5,U FRED inox 316 satinat 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.52,7.5
UFRED.I16.SA.15X30X1,U FRED inox 316 satinat 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.69,7.5
UFRED.I16.SA.20X15X1,U FRED inox 316 satinat 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.64,7.5
UFRED.I16.SA.20X15X1.5,U FRED inox 316 satinat 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.64,7.5
UFRED.I16.SA.20X20X1,U FRED inox 316 satinat 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.7,7.5
UFRED.I16.SA.20X20X1.5,U FRED inox 316 satinat 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.71,7.5
UFRED.I16.SA.20X40X1.5,U FRED inox 316 satinat 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.98,7.5
UFRED.I16.SA.25X15X1,U FRED inox 316 satinat 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.88,7.5
UFRED.I16.SA.25X15X1.5,U FRED inox 316 satinat 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.89,7.5
UFRED.I16.SA.25X25X1,U FRED inox 316 satinat 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.9,7.5
UFRED.I16.SA.25X25X1.5,U FRED inox 316 satinat 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.9,7.5
UFRED.I16.SA.30X15X1,U FRED inox 316 satinat 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.92,7.5
UFRED.I16.SA.30X15X1.5,U FRED inox 316 satinat 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 SATI,0.93,7.5
UFRED.I16.BRI.10X10X1,U FRED inox 316 brillant 10x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.23,7.2
UFRED.I16.BRI.10X15X1,U FRED inox 316 brillant 10x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.36,7.2
UFRED.I16.BRI.15X10X1,U FRED inox 316 brillant 15x10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.42,7.2
UFRED.I16.BRI.15X12X1,U FRED inox 316 brillant 15x12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.48,7.2
UFRED.I16.BRI.15X12X1.5,U FRED inox 316 brillant 15x12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.49,7.2
UFRED.I16.BRI.15X15X1,U FRED inox 316 brillant 15x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.51,7.2
UFRED.I16.BRI.15X15X1.5,U FRED inox 316 brillant 15x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.52,7.2
UFRED.I16.BRI.15X30X1,U FRED inox 316 brillant 15x30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.69,7.2
UFRED.I16.BRI.20X15X1,U FRED inox 316 brillant 20x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.64,7.2
UFRED.I16.BRI.20X15X1.5,U FRED inox 316 brillant 20x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.64,7.2
UFRED.I16.BRI.20X20X1,U FRED inox 316 brillant 20x20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.7,7.2
UFRED.I16.BRI.20X20X1.5,U FRED inox 316 brillant 20x20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.71,7.2
UFRED.I16.BRI.20X40X1.5,U FRED inox 316 brillant 20x40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.98,7.2
UFRED.I16.BRI.25X15X1,U FRED inox 316 brillant 25x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.88,7.2
UFRED.I16.BRI.25X15X1.5,U FRED inox 316 brillant 25x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.89,7.2
UFRED.I16.BRI.25X25X1,U FRED inox 316 brillant 25x25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.9,7.2
UFRED.I16.BRI.25X25X1.5,U FRED inox 316 brillant 25x25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.9,7.2
UFRED.I16.BRI.30X15X1,U FRED inox 316 brillant 30x15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.92,7.2
UFRED.I16.BRI.30X15X1.5,U FRED inox 316 brillant 30x15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/U XAPA 16 BRILL,0.93,7.2
PER.FN.O35,Perfrisa ferro negre o35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,6.31,3.7
PER.FN.O50PETIT,Perfrisa ferro negre o50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,2.48,3.7
PER.FN.O50GRAN,Perfrisa ferro negre o50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,1.16,3.7
PER.FN.T35,Perfrisa ferro negre t35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,3.13,3.7
PER.FN.T50PETIT,Perfrisa ferro negre t50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,26.73,3.7
PER.FN.T50GRAN,Perfrisa ferro negre t50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,3.79,3.7
PER.FN.Z35,Perfrisa ferro negre z35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,6.31,3.7
PER.FN.Z50PETIT,Perfrisa ferro negre z50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,12.17,3.7
PER.FN.Z50GRAN,Perfrisa ferro negre z50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA FN,9.32,3.7
PER.GA.O35,Perfrisa ferro galva o35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,14.98,4.1
PER.GA.O50PETIT,Perfrisa ferro galva o50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,22.26,4.1
PER.GA.O50GRAN,Perfrisa ferro galva o50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,17.68,4.1
PER.GA.T35,Perfrisa ferro galva t35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,0.32,4.1
PER.GA.T50PETIT,Perfrisa ferro galva t50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,10.3,4.1
PER.GA.T50GRAN,Perfrisa ferro galva t50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,0.47,4.1
PER.GA.Z35,Perfrisa ferro galva z35,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,13.52,4.1
PER.GA.Z50PETIT,Perfrisa ferro galva z50 petit,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,19.66,4.1
PER.GA.Z50GRAN,Perfrisa ferro galva z50 gran,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/PERFRISA GV,16.64,4.1
IPE.80,IPE ferro negre 80,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,6.15,1.1
IPE.100,IPE ferro negre 100,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,8.3,1.1
IPE.120,IPE ferro negre 120,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,10.66,1.1
IPE.140,IPE ferro negre 140,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,13.22,1.1
IPE.160,IPE ferro negre 160,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,16.2,1.1
IPE.180,IPE ferro negre 180,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,19.27,1.1
IPE.200,IPE ferro negre 200,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,22.96,1.1
IPE.220,IPE ferro negre 220,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,26.86,1.1
IPE.240,IPE ferro negre 240,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,31.47,1.1
IPE.270,IPE ferro negre 270,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,37,1.1
IPE.300,IPE ferro negre 300,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,43.26,1.1
IPE.330,IPE ferro negre 330,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,50.33,1.1
IPE.360,IPE ferro negre 360,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,58.53,1.1
IPE.400,IPE ferro negre 400,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,67.96,1.1
IPE.450,IPE ferro negre 450,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,79.54,1.1
IPE.500,IPE ferro negre 500,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,92.97,1.1
IPE.550,IPE ferro negre 550,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,108.65,1.1
IPE.600,IPE ferro negre 600,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,125.05,1.1
HEA.100,HEA ferro negre 100,M.PRIMERA/TRASPAS EXCEL FERRO/FERRO/BIGUES,17.12,1.1
